kpoint_fail_frac,max_band_deviation,charge_spilling_pct,compound_id,delta_per_atom_eV,robust_z
1.0,1.54506,2.63,extension_BPd5_mp-1228665,-7.328671111111109,2.9087775570919234
0.3333333333333333,7.88293,1.28,extension_B_mp-160,,
,,5.43,extension_Ba3Ca_mp-1183342,-0.2096974999999999,0.4041780597831656
0.344,9.14956,5.27,extension_Ba3N2_mp-1013528,-2.123304,0.4863566926941931
0.037037037037037035,0.0131032,3.78,extension_Ba4Pd_mp-1214438,-0.5459859999999981,0.2476795340368951
,,3.61,extension_Ba5P4_exp_mp-17566,-0.9589662169312148,0.05549099618290739
,,1.33,extension_BaCl2_exp_mp-23199,-0.2243991666666653,0.3973363475053261
,,0.99,extension_BaF3_exp_mp-1080821,-0.8679649999999988,0.09784021802918501
0.014577259475218658,8.29663,0.95,extension_BaF3_theo_mp-1183303,-0.249347499999998,0.38572614559091883
0.11428571428571428,7.95801,6.65,extension_BaMg3_mp-1016218,0.0717825,0.5351703626036917
,,2.18,extension_BaN2_exp_mp-1102371,-5.342378333333333,1.984416803088476
0.01171875,0.000345894,3.3,extension_BaO_exp_mp-1008500,-0.3221143749999982,0.3518626365483461
0.10555555555555556,6.74347,3.16,extension_BaO_theo_mp-1950989,-1.612911874999999,0.24883559067908764
,,2.47,extension_BaP10_mp-28035,-0.3673611255411244,0.33080616344713815
,,2.24,extension_BaS3_exp_mp-556296,-0.6232979687499967,0.21170087543894547
0.027777777777777776,2.96408,5.41,extension_Ba_mp-122,,
0.04,2.47404,3.35,extension_Be12Mo_mp-1475,-2.102653846153837,0.4767467338839506
,,1.99,extension_Be3N2_exp_mp-18337,1.8948462500000232,1.3835692499176278
,,2.09,extension_Be3N2_theo_mp-1017550,2.3655235000000205,1.6026082468720546
0.037037037037037035,6.78131,1.49,extension_Be3P2_exp_mp-567841,-0.2110653452381058,0.403541505862313
0.216,8.73085,1.63,extension_Be3P2_mp-1084771,-0.1795195952381078,0.4182219465213309
0.037037037037037035,2.61705,1.49,extension_Be3P2_mp-567841,-0.2110655952381037,0.40354138951985374
0.216,8.73085,1.63,extension_Be3P2_theo_mp-1084771,-0.1795195952381078,0.4182219465213309
0.008,0.00559117,1.12,extension_BeCl2_exp_mp-23267,1.8203724999999975,1.3489114127278325
,,0.42,extension_BeCl2_theo_mp-1172909,-5.780678611111114,2.188388533630567
,,0.6,extension_BeF2_exp_mp-15951,3.1514019444444217,1.9683323735410363
,,0.58,extension_BeF2_theo_mp-975644,-0.6815591666666497,0.18458787103300253
,,1.08,extension_BeO_exp_mp-7599,2.786351875000017,1.7984490807979798
,,1.02,extension_BeO_theo_mp-1778,4.439109374999987,2.567592575642699
0.001488095238095238,0.000189765,3.86,extension_Be_mp-87,,
,,2.44,extension_Bi2O3_anchor_mp-558953,,
,,2.56,extension_Bi2O3_poly_mp-1383505,,
,,2.43,extension_Bi2O3_poly_mp-674644,,
,,2.78,extension_Bi2O3_poly_mp-714859,,
,,0.97,extension_Br_mp-23154,,
,,1.68,extension_C(NO)2_mp-1197051,2.171960250000005,1.512529748012714
0.25,0.392294,1.6,extension_C2N2O_mp-1214250,1.3606609166666856,1.1349755063255993
,,1.41,extension_C3N4_anchor_mp-571653,3.9343607142857135,2.3326977717044475
